SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
25067,237,1,Classic,Supplemental,1960,Number Bricks,,,,,,,17,17,
25166,700K,1,Dacta,Classic,1960,Kindergarten LEGO Set,,,,,,,7,11,
26248,215,3,Samsonite,Supplemental,1961,2 X 8 Bricks,,9.0,,0.5,,,https://images.brickset.com/sets/images/215-3.jpg,4,10.0
25575,216,2,Samsonite,Supplemental,1961,2 X 10 Bricks,,8.0,,,,,https://images.brickset.com/sets/images/216-2.jpg,5,12.0
25573,217,3,Samsonite,Supplemental,1961,4 x 4 Corner Bricks,,10.0,,0.5,,,https://images.brickset.com/sets/images/217-3.jpg,5,14.0
25560,218,3,Samsonite,Supplemental,1961,2 x 4 Bricks,,20.0,,0.5,,,https://images.brickset.com/sets/images/218-3.jpg,9,14.0
26007,219,2,Samsonite,Supplemental,1961,2 X 3 Bricks,,24.0,,0.5,,,https://images.brickset.com/sets/images/219-2.jpg,9,12.0
26241,220,2,Samsonite,Supplemental,1961,2 X 2 Bricks,,33.0,,0.5,,,https://images.brickset.com/sets/images/220-2.jpg,6,11.0
26242,221,3,Samsonite,Supplemental,1961,1 X 2 Bricks,,45.0,,0.5,,,https://images.brickset.com/sets/images/221-3.jpg,5,11.0
25318,222,3,Samsonite,Supplemental,1961,1 x 1 Bricks,,,,0.5,,,https://images.brickset.com/sets/images/222-3.jpg,9,14.0
26352,223,3,Samsonite,Supplemental,1961,1 x 1 Round Bricks,,62.0,,0.5,,,https://images.brickset.com/sets/images/223-3.jpg,4,9.0
25311,224,2,Samsonite,Supplemental,1961,Bricks Curved,,33.0,,0.5,,,https://images.brickset.com/sets/images/224-2.jpg,9,12.0
26353,226,3,Samsonite,Supplemental,1961,1 X 8 & 1 X 6 Named Beams,,10.0,,0.5,,,4,12,
26354,228,2,Samsonite,Supplemental,1961,4 X 8 Plates,,10.0,,0.5,,,https://images.brickset.com/sets/images/228-2.jpg,5,11.0
26355,230,3,Samsonite,Supplemental,1961,Trees and Bushes,,12.0,,0.5,,,https://images.brickset.com/sets/images/230-3.jpg,5,14.0
26356,231,3,Samsonite,Supplemental,1961,Esso Stations (Pumps and Sign),,2.0,,0.5,,,https://images.brickset.com/sets/images/231-3.jpg,5,15.0
26357,232,3,Samsonite,Supplemental,1961,Road Signs,,15.0,,0.5,,,https://images.brickset.com/sets/images/232-3.jpg,9,15.0
26358,233,2,Samsonite,Supplemental,1961,Street Lamps,,9.0,,0.5,,,https://images.brickset.com/sets/images/233-2.jpg,9,11.0
26359,234,2,Samsonite,Supplemental,1961,Lettered Bricks,,35.0,,0.5,,,https://images.brickset.com/sets/images/234-2.jpg,5,11.0
26245,235,3,Samsonite,Supplemental,1961,Garage Plate and Door (White Base and Door Frame),,3.0,,0.5,,,https://images.brickset.com/sets/images/235-3.jpg,6,10.0
26360,237,2,Samsonite,Supplemental,1961,Numbered Bricks,,35.0,,0.5,,,5,10,
26361,242,3,Samsonite,Supplemental,1961,International Flags,,7.0,,0.5,,,4,11,
26206,245,3,Samsonite,Supplemental,1961,Lighting Device Pack,,,,0.5,,,https://images.brickset.com/sets/images/245-3.jpg,11,19.0
